index,sentence,sentence_clean,flesch,syllables,words,ave_syllables
14, mistakes that ll stunt your s growth,mistakes stunt your growth,29.52,16,8,2.0
535,how to watch seahawks vs ers on mnf,watch seahawks vs ers mnf,29.52,16,8,2.0
4655,live by the plan die by the plan,live plan die plan,29.52,16,8,2.0
7583,when the best time to drink milk ,best time drink milk,29.52,16,8,2.0
8418,monday morning fly by third place baby ,monday morning fly third place baby,29.52,16,8,2.0
9642, hot new design trends landing in ,hot new design trends landing,29.52,16,8,2.0
12094, nfl pro bowl voting is now open,nfl pro bowl voting is open,29.52,16,8,2.0
16480,a man and his shelby t years on,man his shelby t years,29.52,16,8,2.0
17100,what on tv friday magnum i on cbs,tv friday magnum cbs,29.52,16,8,2.0
17916, things to know for jaguars vs colts,things know jaguars vs colts,29.52,16,8,2.0
21919,myles garrett on fight lost my cool ,myles garrett fight lost cool,29.52,16,8,2.0
13468,nick diaz as far as m concerned the bmf belt is my belt ,nick diaz far concerned bmf belt belt,29.47,27,14,1.9285714285714286
2217,streaking caps try to stay on top vs knights,streaking caps try stay top vs knights,28.5,18,9,2.0
2711,icymi the week in tv news for nov ,icymi week tv news nov,28.5,18,9,2.0
4291,should chad kelly be the colts backup qb ,chad kelly the colts backup qb,28.5,18,9,2.0
11280,why is my car shaking after the snowstorm ,car shaking snowstorm,28.5,18,9,2.0
18028,tax filing in what is my tax bracket ,tax filing tax bracket,28.5,18,9,2.0
18563,ftrs picks week the techmo bowl is back ,ftrs picks week techmo bowl back,28.5,18,9,2.0
20391,icymi the week in tv news for nov ,icymi week tv news nov,28.5,18,9,2.0
1517, rules for how to call in sick to work,rules how to call sick work,27.49,20,10,2.0
17787,who won the nl mvp the year you were born ,who nl mvp year born,26.47,22,11,2.0
3807,wip rob ellis returns to tv to host new sports betting show on cbs ,wip rob ellis returns tv host new sports betting show cbs,22.41,30,15,2.0
488,can falcons hc dan quinn save his job ,falcons hc dan quinn save his job,19.1,19,9,2.111111111111111
933,would you want dez bryant on the ers ,would want dez bryant ers,19.1,19,9,2.111111111111111
2001,is this the world most forward thinking city ,is this world forward thinking city,19.1,19,9,2.111111111111111
2513,black friday vs prime day how they stack up,black friday vs prime day stack,19.1,19,9,2.111111111111111
3531, things to watch as colts take on dolphins,things watch colts take dolphins,19.1,19,9,2.111111111111111
6438,for war veterans python hunt can help fight ptsd,for war veterans python hunt help fight ptsd,19.1,19,9,2.111111111111111
7176,stock up stock down in colts loss to dolphins,stock stock colts loss dolphins,19.1,19,9,2.111111111111111
7531,mlb bullets and what brown can do for you,mlb bullets brown,19.1,19,9,2.111111111111111
8504,e drops new er fan anthem niner gang ,e drops new er fan anthem niner gang,19.1,19,9,2.111111111111111
9134, quiet dogs that don bark too much ,quiet dogs that bark much,19.1,19,9,2.111111111111111
10355,prep rally honor roll plays of the week ,prep rally honor roll plays week,19.1,19,9,2.111111111111111
10737, suzuki gsx and gsx f first look preview,suzuki gsx gsx f first look preview,19.1,19,9,2.111111111111111
14265, cma awards the best duos of the night,cma awards best duos of night,19.1,19,9,2.111111111111111
16642, worst things you can say to new parent,worst things say new parent,19.1,19,9,2.111111111111111
17953, suzuki gsx and gsx f first look preview,suzuki gsx gsx f first look preview,19.1,19,9,2.111111111111111
19370,the best holiday markets to shop in nyc ,best holiday markets shop nyc,19.1,19,9,2.111111111111111
20724,colts vs jaguars things to know in week ,colts vs jaguars things know week,19.1,19,9,2.111111111111111
21008,g kings kyle guy starts next chapter in stockton,g kings kyle guy starts next chapter stockton,19.1,19,9,2.111111111111111
21035,multi vehicle crash shuts down part of rt ,multi vehicle crash shuts part rt,19.1,19,9,2.111111111111111
21125,the best and biggest country songs of the s,best biggest country songs the,19.1,19,9,2.111111111111111
21836, teams on upset alert in nfl week ,teams upset alert nfl week,19.1,19,9,2.111111111111111
22377, best black friday luxury car deals in ,best black friday luxury car deals,19.1,19,9,2.111111111111111
2675,is this the new bmw s aggressive rear end ,new bmw aggressive rear end,19.03,21,10,2.1
3110,rainey fg th down stop lift tulsa over ucf ,rainey fg th stop lift tulsa ucf,19.03,21,10,2.1
5158,get your roll tide what you shirt from lbs ,get roll tide shirt from lbs,19.03,21,10,2.1
5523, things to do in cleveland on sunday nov ,things cleveland sunday nov,19.03,21,10,2.1
11371,this hum is the sound of ford new hybrid suvs,hum sound ford new hybrid suvs,19.03,21,10,2.1
12273, reasons why at stock can stay in rally mode,reasons stock stay rally mode,19.03,21,10,2.1
12884,more snow is on the way then reallly cold ,snow is way reallly cold,19.03,21,10,2.1
15733,don jr when is hearsay better than the facts ,jr hearsay better facts,19.03,21,10,2.1
16747,is this bitter blast sign of very cold winter ,bitter blast sign cold winter,19.03,21,10,2.1
19865,tyler ankrum to drive truck for gms racing in ,tyler ankrum drive truck gms racing,19.03,21,10,2.1
20206,what happens when the roof of the world melts ,happens when the roof world melts,19.03,21,10,2.1
20526, year old boy shot killed in lancaster c ,year old boy shot killed lancaster c,19.03,21,10,2.1
21544, cc off road two stroke dirt bikes to buy,cc road two stroke dirt bikes buy,19.03,21,10,2.1
22592,are the vikings the best team in the nfc ,vikings best team in nfc,19.03,21,10,2.1
1317, ways to shrink your belly in hours,ways shrink belly hours,18.94,17,8,2.125
3125,motor com best spy shots of the week,motor com best spy shots week,18.94,17,8,2.125
3594, p stocks with the most insider buying,p stocks insider buying,18.94,17,8,2.125
4700,best worst qb performances from nfl week ,best worst qb performances nfl week,18.94,17,8,2.125
4788,studs and duds from colts loss to dolphins,studs duds colts loss dolphins,18.94,17,8,2.125
6185,st cloud hospital births from oct nov ,st cloud hospital births oct nov,18.94,17,8,2.125
6766,watch ford mustang shelby gt run in mile,watch ford mustang shelby gt run mile,18.94,17,8,2.125
7959,woman killed in wrong way crash on ,woman killed in wrong way crash,18.94,17,8,2.125
9237,why bucks vs bulls is very important game,bucks vs bulls important game,18.94,17,8,2.125
10224,playoff watch where do the browns stand ,playoff watch where browns stand,18.94,17,8,2.125
10332, hot jobs that pay more than year,hot jobs pay year,18.94,17,8,2.125
10496,the burgh best dishes and drinks right now,burgh best dishes drinks right,18.94,17,8,2.125
10823,the best black friday car deals in ,best black friday car deals,18.94,17,8,2.125
12342, ways to burn belly fat in minutes,ways burn belly fat minutes,18.94,17,8,2.125
12362,the best rpgs to play through the winter,best rpgs play winter,18.94,17,8,2.125
13953,cold air in no hurry to depart ,cold air hurry depart,18.94,17,8,2.125
15747,the best dressed characters of fall tv ,best dressed characters fall tv,18.94,17,8,2.125
16228,ways to be kind when others aren t,ways kind when others,18.94,17,8,2.125
16848,the sky bar is coming back to sudbury,sky bar coming back sudbury,18.94,17,8,2.125
17661,latin grammys best moments of the night ,latin grammys best moments night,18.94,17,8,2.125
17684, x effect campaign to enhance st x,x effect campaign enhance st x,18.94,17,8,2.125
19016,the best black friday truck deals for ,best black friday truck deals,18.94,17,8,2.125
22251, newsweek ranks poly th for stem program,newsweek ranks poly th stem program,18.94,17,8,2.125
22402,which zodiac signs will get rich in ,zodiac signs get rich in,18.94,17,8,2.125
960,what it like to have bad skin and work on tv,like bad skin work on tv,18.78,23,11,2.090909090909091
6089,ask mr dad bad dad can connect with kids through play,ask mr dad bad dad connect kids play,18.78,23,11,2.090909090909091
6983, bow on top of car as spurs honor tony parker,bow top car spurs honor tony parker,18.78,23,11,2.090909090909091
10707,why m not giving my kids any christmas presents this year,giving kids christmas presents year,18.78,23,11,2.090909090909091
12607,should chevy bring this three row blazer to the s ,chevy bring three row blazer,18.78,23,11,2.090909090909091
12623,how the rest of the nfc south fared in week ,rest nfc south fared week,18.78,23,11,2.090909090909091
14625,who won the al mvp the year you were born ,al mvp year were born,18.78,23,11,2.090909090909091
15982, top stock trades for thursday amd goos fsly ddog dis,top stock trades thursday amd goos fsly ddog dis,18.78,23,11,2.090909090909091
19262,who will be best team in the nfl after week ,best team in nfl week,18.78,23,11,2.090909090909091
21820, things you should do at the first sign of flu,things first sign flu,18.78,23,11,2.090909090909091
464, simple ways to shrink your gut,simple ways shrink gut,18.44,15,7,2.142857142857143
1683, key questions for nfl week ,key questions for nfl week,18.44,15,7,2.142857142857143
1825,nyy news the calm before the storm,nyy news calm before storm,18.44,15,7,2.142857142857143
2037,bmw g spied on the assembly line,bmw g spied assembly line,18.44,15,7,2.142857142857143
2929, chevrolet blazer rs pros and cons,chevrolet blazer rs pros cons,18.44,15,7,2.142857142857143
5958, m never going to retire ,never going retire,18.44,15,7,2.142857142857143
6978,is this your pink stuffed bunny ,pink stuffed bunny,18.44,15,7,2.142857142857143
10724,this is your body on the flu,body flu,18.44,15,7,2.142857142857143
11643,what wrong with the colts offense ,wrong colts offense,18.44,15,7,2.142857142857143
11768,why blizzard went dark for diablo ,blizzard went dark diablo,18.44,15,7,2.142857142857143
13135,the best pc gaming headsets of ,best pc gaming headsets,18.44,15,7,2.142857142857143
14421, th annual walk to end hunger,th annual walk end hunger,18.44,15,7,2.142857142857143
14836,gameday thread stars flames pm ct ,gameday thread stars flames pm ct,18.44,15,7,2.142857142857143
15163,the best low cal recipes of ,best low cal recipes,18.44,15,7,2.142857142857143
16040,what cm punk return means for wwe,cm punk return means wwe,18.44,15,7,2.142857142857143
16984, evil star katja herbers stops by,evil star katja herbers stops,18.44,15,7,2.142857142857143
17006,heat hang on to beat cavs ,heat hang beat cavs,18.44,15,7,2.142857142857143
17674,a chilly and damp start on friday,chilly damp start friday,18.44,15,7,2.142857142857143
17943,what to watch for nc state wolfpack,watch nc state wolfpack,18.44,15,7,2.142857142857143
18007,which team must win in week ,team must win week,18.44,15,7,2.142857142857143
18898,the best kitchen gifts under in ,best kitchen gifts,18.44,15,7,2.142857142857143
20880,don be duped by phony phone calls,duped phony phone calls,18.44,15,7,2.142857142857143
21301,dc isn keeping up with the signs,dc keeping signs,18.44,15,7,2.142857142857143
21573,study the secret of living to ,study secret living,18.44,15,7,2.142857142857143
1778,the first ford mustang owner kept the car it now worth ,first ford mustang owner kept car worth,18.41,25,12,2.0833333333333335
2872,beckham jr expects to be the best year of my life ,beckham jr expects best year life,18.41,25,12,2.0833333333333335
6171, things that didn suck in the lions loss to the bears,things suck lions loss bears,18.41,25,12,2.0833333333333335
6249,what is remembrance day and why is the poppy its symbol ,what remembrance day poppy symbol,18.41,25,12,2.0833333333333335
17792, things to watch for when the mavericks clash with the knicks,things to watch mavericks clash knicks,18.41,25,12,2.0833333333333335
4968,top things to do in tampa bay for the week of nov ,top things tampa bay week nov,17.93,27,13,2.076923076923077
5030,watch ryan finley throws first nfl td on pretty pass to tyler eifert,watch ryan finley throws first nfl td pretty pass tyler eifert,17.93,27,13,2.076923076923077
6016, dumb ways you could lose it all by trying to get rich,dumb ways could lose trying get rich,17.93,27,13,2.076923076923077
8848,i used to hate all men then got pregnant with my son ,used hate men got pregnant son,17.93,27,13,2.076923076923077
17030,why is mama a st paul staple it not just the pizza ,mama st paul staple pizza,17.93,27,13,2.076923076923077
17104,zac brown band adds sprint center stop to the owl tour in ,zac brown band adds sprint center stop owl tour,17.93,27,13,2.076923076923077
21779, binge worthy tv shows that came and went in the past years,binge worthy tv shows came went past years,17.93,27,13,2.076923076923077
349, dead in perry county crash,dead perry county crash,17.45,13,6,2.1666666666666665
519,bud light ads honor nats fan,bud light ads honor nats fan,17.45,13,6,2.1666666666666665
2050,best tv gifts for the holidays,best tv gifts the holidays,17.45,13,6,2.1666666666666665
2490,nfl reveals top teams nos ,nfl reveals top teams nos,17.45,13,6,2.1666666666666665
3797,best ski resorts in the us,best ski resorts us,17.45,13,6,2.1666666666666665
3991,herman it burn it durn it,herman burn durn,17.45,13,6,2.1666666666666665
4136,fall tv scheduling hits misses ,fall tv scheduling hits misses,17.45,13,6,2.1666666666666665
5045,falcons stun st place saints ,falcons stun st place saints,17.45,13,6,2.1666666666666665
5074,vikings edge cowboys on snf ,vikings edge cowboys snf,17.45,13,6,2.1666666666666665
5816,the best down jackets under ,best jackets under,17.45,13,6,2.1666666666666665
5865,how the sounders won mls cup,sounders won mls cup,17.45,13,6,2.1666666666666665
7717,cats are cards in ap poll,cats cards ap poll,17.45,13,6,2.1666666666666665
7909,monday links not so top gun,monday links so top gun,17.45,13,6,2.1666666666666665
9278,stay and dive for free ,stay dive for free,17.45,13,6,2.1666666666666665
10836,the top athletes of the s,top athletes the s,17.45,13,6,2.1666666666666665
11857, labor strife hits the sox,labor strife hits sox,17.45,13,6,2.1666666666666665
13686,top sports stories of the s,top sports stories,17.45,13,6,2.1666666666666665
13795,the best and worst s airports,best worst airports,17.45,13,6,2.1666666666666665
14741, best ways to quit smoking,best ways quit smoking,17.45,13,6,2.1666666666666665
15926,the biggest royal news of ,biggest royal news,17.45,13,6,2.1666666666666665
16783,a post post cold war nato,post post cold war nato,17.45,13,6,2.1666666666666665
17232,the week in history nov ,week history nov,17.45,13,6,2.1666666666666665
18427, best westerns of all time,best westerns of time,17.45,13,6,2.1666666666666665
19179, best holiday gifts for kids,best holiday gifts kids,17.45,13,6,2.1666666666666665
20282,shelby warmer start to chilly day,shelby warmer start chilly day,17.45,13,6,2.1666666666666665
20307,pic ufc busan poster drops ,pic ufc busan poster drops,17.45,13,6,2.1666666666666665
20932,why palm oil is so cheap,palm oil cheap,17.45,13,6,2.1666666666666665
22018, steps to million dollar ,steps million dollar,17.45,13,6,2.1666666666666665
22648,the best bars in kansas city,best bars kansas city,17.45,13,6,2.1666666666666665
20240,x and omar should dolphins move up in nfl draft to select qb ,x omar dolphins move nfl draft select qb,17.38,29,14,2.0714285714285716
10629,i mt rose project what left to do and when will it be done ,mt rose project left it done,16.77,31,15,2.066666666666667
1973, best belly shrinking foods,best belly shrinking foods,15.64,11,5,2.2
2020,bucs record watch week ,bucs record watch week,15.64,11,5,2.2
3082, kawasaki kx dyno test,kawasaki kx dyno test,15.64,11,5,2.2
3883,weekend best best nov ,weekend best best nov,15.64,11,5,2.2
4059, amazon gifts under ,amazon gifts under,15.64,11,5,2.2
4175,rapid recap bucks jazz ,rapid recap bucks jazz,15.64,11,5,2.2
4612,bengals news naysay what ,bengals news naysay,15.64,11,5,2.2
5025,pilgrim progress is nov ,pilgrim progress nov,15.64,11,5,2.2
5665, week post game wrap,week post game wrap,15.64,11,5,2.2
5831,sunday morning prep rally ,sunday morning prep rally,15.64,11,5,2.2
6354,today prayer for nov ,today prayer for nov,15.64,11,5,2.2
8365,h volleyball n top players,h volleyball n top players,15.64,11,5,2.2
9842,stevens ends playoff dry spell,stevens ends playoff dry spell,15.64,11,5,2.2
11504,spinlock new soft grip clutch,spinlock new soft grip clutch,15.64,11,5,2.2
11657,top holiday toys of ,top holiday toys,15.64,11,5,2.2
12471,amazon fire tv stick k,amazon fire tv stick k,15.64,11,5,2.2
12776,nfl power rankings week ,nfl power rankings week,15.64,11,5,2.2
13094,best royal photos of ,best royal photos,15.64,11,5,2.2
15525,the system was blinking red,system was blinking red,15.64,11,5,2.2
17079,rapid recap bucks bulls ,rapid recap bucks bulls,15.64,11,5,2.2
17243,today prayer for nov ,today prayer nov,15.64,11,5,2.2
17558,best gifts for disney fans,best gifts disney fans,15.64,11,5,2.2
17563,on this day november ,day november,15.64,11,5,2.2
18349,what dogs were bred for,dogs bred,15.64,11,5,2.2
18804,bucks vs bulls game thread,bucks vs bulls game thread,15.64,11,5,2.2
18835,slap shots flyers vs captials,slap shots flyers vs captials,15.64,11,5,2.2
19519, irs audit red flags,irs audit red flags,15.64,11,5,2.2
20137,the best gifts for teens,best gifts for teens,15.64,11,5,2.2
20262,how the stock market works,how stock market works,15.64,11,5,2.2
22761, told my partner cheated for all the wrong reasons but m still glad did it ,told partner cheated all wrong reasons still glad,15.4,35,17,2.0588235294117645
534,celebrity pda of ,celebrity pda,12.43,9,4,2.25
744,celebs turning in ,celebs turning,12.43,9,4,2.25
1017,bloomy on the brink,bloomy brink,12.43,9,4,2.25
1045,look of the day,look day,12.43,9,4,2.25
1985,look of the day,look the day,12.43,9,4,2.25
2123,final texas ksu ,final texas ksu,12.43,9,4,2.25
4434,look of the day,look day,12.43,9,4,2.25
4909,nfl week am thread,nfl week thread,12.43,9,4,2.25
5219,look of the day,look day,12.43,9,4,2.25
6177,look of the day,look day,12.43,9,4,2.25
6299,colts vs dolphins highlights,colts vs dolphins highlights,12.43,9,4,2.25
7911,look of the day,look day,12.43,9,4,2.25
8965,morning bag skate ,morning bag skate,12.43,9,4,2.25
10180,no lsu battles vcu,lsu battles vcu,12.43,9,4,2.25
10233,work hard eat well,work hard eat well,12.43,9,4,2.25
10860,look of the day,look day,12.43,9,4,2.25
10975,photos of the day,photos day,12.43,9,4,2.25
13138,morning bag skate ,morning bag skate,12.43,9,4,2.25
15041,photos of the day,photos day,12.43,9,4,2.25
15461,look of the day,look the day,12.43,9,4,2.25
16155, ducati monster s,ducati monster,12.43,9,4,2.25
17640,morning bag skate ,morning bag skate,12.43,9,4,2.25
17848,rockets best clippers ,rockets best clippers,12.43,9,4,2.25
18443,astros afl wrap up,astros afl wrap,12.43,9,4,2.25
19012,game hawks at suns,game hawks suns,12.43,9,4,2.25
19366,look of the day,look day,12.43,9,4,2.25
21620,the best cat litter,best cat litter,12.43,9,4,2.25
1026, best snacks for when you re trying to cut back on sodium,best snacks trying cut back on sodium,11.42,28,13,2.1538461538461537
1462, ways to stretch your holiday budget at costco sam and bj s,ways stretch holiday budget costco sam bj,11.42,28,13,2.1538461538461537
3786,happy friday what if you always had it off why don you ,happy friday always off you,11.42,28,13,2.1538461538461537
4063,new gas tax here why md could pay more at the pump report,new gas tax why md could pay at pump report,11.42,28,13,2.1538461538461537
5213, nfl week dolphins vs colts second half open thread colts trail ,nfl week dolphins vs colts second half open thread colts trail,11.42,28,13,2.1538461538461537
8567, months of full body workouts helped this guy get shredded at ,months full body workouts helped guy get shredded,11.42,28,13,2.1538461538461537
9095,the latest weight loss pills that work and the ones that don t,latest weight loss pills work ones,11.42,28,13,2.1538461538461537
19693,big daddy bbq and soul food is popping up at th and villard,big daddy bbq soul food popping th villard,11.42,28,13,2.1538461538461537
35,the highlights and lowlights from the world of comedy in the s,highlights lowlights world comedy,11.36,26,12,2.1666666666666665
1657, ways to find extra money to pay off credit card debt,ways to find extra money to pay credit card debt,11.36,26,12,2.1666666666666665
2379,the best shows on tv from star trek discovery to schitt creek,best shows tv star trek discovery schitt creek,11.36,26,12,2.1666666666666665
2847, mistakes that ruin dinner rolls and how to fix them ,mistakes ruin dinner rolls and to fix,11.36,26,12,2.1666666666666665
4137,why jan will be the busiest day of the year for ups,jan busiest day year ups,11.36,26,12,2.1666666666666665
6357,watch patrick mahomes finds new way to throw td with jump pass,watch patrick mahomes finds new way throw td with jump pass,11.36,26,12,2.1666666666666665
6932, gmc sierra hd review the good the bad and the ugly,gmc sierra hd review good bad the ugly,11.36,26,12,2.1666666666666665
9873,this is why miss my marine dad most this time of year,miss marine dad this time year,11.36,26,12,2.1666666666666665
10768,omg it cold frigid day ahead with high of low of ,omg cold frigid day ahead high low of,11.36,26,12,2.1666666666666665
11120,two for one cavs come up just short in loss to ers,two one cavs come short loss ers,11.36,26,12,2.1666666666666665
11834, ers will play packers rams in prime time at levi s,ers play packers rams prime time levi,11.36,26,12,2.1666666666666665
16463, the guy who started it all the whistleblower or trump ,guy started all whistleblower trump,11.36,26,12,2.1666666666666665
19323,father and his sons pay it ward by mowing lawns for free,father sons pay ward mowing lawns free,11.36,26,12,2.1666666666666665
19900, mph chase ends with driver in stolen truck crashing in pond,mph chase ends driver in stolen truck crashing pond,11.36,26,12,2.1666666666666665
20132, things you do that might be messing up your flu shot,things do might messing flu shot,11.36,26,12,2.1666666666666665
260,what did travel have to do with the fall of the berlin wall ,travel to with fall berlin wall,11.34,30,14,2.142857142857143
5729, of the best lunch items you can buy at costco for under ,best lunch items can buy costco for,11.34,30,14,2.142857142857143
6825,new gas tax here why va dc could pay more at the pump report,new gas tax va dc could pay pump report,11.34,30,14,2.142857142857143
7613,new gas tax here why va dc could pay more at the pump report,new gas tax va dc could pay pump report,11.34,30,14,2.142857142857143
16898,panthers bring back greg dortch for practice squad browns sign bryan cox jr ,panthers bring back greg dortch practice squad browns sign bryan cox jr,11.34,30,14,2.142857142857143
18010, top stocking stuffers that will fly off shelves this year all under ,top stocking stuffers fly shelves year,11.34,30,14,2.142857142857143
19088,if you re in the yellow you ll get colts vs jaguars on tv,yellow get colts vs jaguars tv,11.34,30,14,2.142857142857143
21681,suv ends up in the ditch after deer strike on in harmony twp ,suv ends ditch deer strike harmony twp,11.34,30,14,2.142857142857143
8622,at with new baby she thought she had the flu it was blood cancer ,at new baby thought flu was blood cancer,11.13,32,15,2.1333333333333333
12747, if we don get it shut it down mcdonald workers rally for an hour,if get shut down mcdonald workers rally hour,11.13,32,15,2.1333333333333333
21,jets hc adam gase isn at risk of losing his job,jets hc adam gase isn risk losing job,11.09,24,11,2.1818181818181817
107,memo to trump you ll never get the black vote ,memo trump never get black vote,11.09,24,11,2.1818181818181817
901,police nyc cyclist killed by hit and run dump truck driver,police nyc cyclist killed hit run dump truck driver,11.09,24,11,2.1818181818181817
1276, of the best toys of the year all on amazon,best toys year amazon,11.09,24,11,2.1818181818181817
2259,the best things to add to your home for fall cor,best things add your home fall cor,11.09,24,11,2.1818181818181817
2673,watch tcu ties baylor in ot on hunt great td catch,watch tcu ties baylor ot hunt great td catch,11.09,24,11,2.1818181818181817
3081,what does wifi stand for it not what you think ,what wifi stand for think,11.09,24,11,2.1818181818181817
3603,megyn kelly is back to work details on her new job,megyn kelly back work details new job,11.09,24,11,2.1818181818181817
3927,is this rock fragment the oldest object in the world ,this rock fragment oldest object in world,11.09,24,11,2.1818181818181817
8765,ask mr dad your child is brat and it your fault,ask mr dad child brat fault,11.09,24,11,2.1818181818181817
9631,nyc school closings will the kids get snow day tuesday ,nyc school closings will kids get snow day tuesday,11.09,24,11,2.1818181818181817
10068,boeing stock soars it still thinks max will fly next month,boeing stock soars it still thinks max fly next month,11.09,24,11,2.1818181818181817
10805,bicyclist killed in hit and run crash on s in tampa,bicyclist killed in hit run crash s tampa,11.09,24,11,2.1818181818181817
11228,i had the perfect partner but still wasn over my ex,perfect partner still ex,11.09,24,11,2.1818181818181817
12243,japan wants you to stop buying all its skyline gt rs,japan wants stop buying its skyline gt rs,11.09,24,11,2.1818181818181817
13084,what it like to learn you re top cnn hero ,what like learn top cnn hero,11.09,24,11,2.1818181818181817
13215, parts of the golf broadcast we wish we could skip,parts golf broadcast wish could skip,11.09,24,11,2.1818181818181817
13325,why does it get colder after the sun comes up ,get colder sun comes,11.09,24,11,2.1818181818181817
15223,the best pre black friday and cyber monday deals of ,best pre black friday cyber monday deals,11.09,24,11,2.1818181818181817
15531,ravens vs texans staff picks who will win sunday game ,ravens vs texans staff picks win sunday game,11.09,24,11,2.1818181818181817
15759,these snakes can jump and scientists want to know why ,snakes jump scientists want know,11.09,24,11,2.1818181818181817
16251, photos show what it really like to grow up trans,photos show really like grow up trans,11.09,24,11,2.1818181818181817
21045,taylor swift vs big machine how did we get here ,taylor swift vs big machine get,11.09,24,11,2.1818181818181817
