text,flesch,words,syllables,label
nasty common name if you ask me oh yes said mr dursley his heart sinking horribly ,-21.11,13,33,0
 yes quite agree he didn say another word on the subject as they went upstairs to bed ,-37.99,12,33,0
while mrs dursley was in the bathroom mr dursley crept to the bedroom window and peered down into the front garden ,-34.13,13,35,0
the cat was still there ,35.61,2,4,0
it was staring down privet drive as though it were waiting for something ,-66.16,7,22,0
was he imagining things ,-91.29,2,7,0
could all this have anything to do with the potters ,-18.2,5,13,0
if it did if it got out that they were related to pair of well he didn think he could bear it ,-19.68,11,28,0
the dursleys got into bed ,6.39,3,7,0
mrs dursley fell asleep quickly but mr dursley lay awake turning it all over in his mind ,-14.61,13,32,0
his last comforting thought before he fell asleep was that even if the potters were involved there was no reason for them to come near him and mrs dursley ,-52.89,19,54,0
the potters knew very well what he and petunia thought about them and their kind ,-18.5,9,23,0
 ,121.22,1,1,0
he couldn see how he and petunia could get mixed up in anything that might be going on he yawned and turned over it couldn affect them ,-45.27,15,42,0
 how very wrong he was ,36.62,1,2,0
mr dursley might have been drifting into an uneasy sleep but the cat on the wall outside was showing no sign of sleepiness ,-43.05,14,39,0
it was sitting as still as statue its eyes fixed unblinkingly on the far corner of privet drive ,-50.44,11,32,0
it didn so much as quiver when car door slammed on the next street nor when two owls swooped overhead ,-40.64,13,36,0
in fact it was nearly midnight before the cat moved at all ,-10.75,6,15,0
a man appeared on the corner the cat had been watching appeared so suddenly and silently you have thought he just popped out of the ground ,-60.16,13,39,0
the cat tail twitched and its eyes narrowed ,-29.9,7,19,0
nothing like this man had ever been seen on privet drive ,-41.98,7,20,0
he was tall thin and very old judging by the silver of his hair and beard which were both long enough to tuck into his belt ,-14.46,17,41,0
he was wearing long robes purple cloak that swept the ground and high heeled buckled boots ,-45.04,12,34,0
his blue eyes were light bright and sparkling behind half moon spectacles and his nose was very long and crooked as though it had been broken at least twice ,-46.43,18,50,0
this man name was albus dumbledore ,-52.04,5,15,0
albus dumbledore didn seem to realize that he had just arrived in street where everything from his name to his boots was unwelcome ,-92.7,13,44,0
he was busy rummaging in his cloak looking for something ,-44.51,8,23,0
but he did seem to realize he was being watched because he looked up suddenly at the cat which was still staring at him from the other end of the street ,-47.34,16,45,0
for some reason the sight of the cat seemed to amuse him ,-68.96,5,16,0
he chuckled and muttered should have known he found what he was looking for in his inside pocket ,-57.11,10,30,0
it seemed to be silver cigarette lighter ,-67.15,6,19,0
he flicked it open held it up in the air and clicked it ,-24.85,6,16,0
the nearest street lamp went out with little pop ,-17.81,7,18,0
he clicked it again the next lamp flickered into darkness ,-24.85,6,16,0
twelve times he clicked the put outer until the only lights left on the whole street were two tiny pinpricks in the distance which were the eyes of the cat watching him ,-40.08,21,56,0
if anyone looked out of their window now even beady eyed mrs dursley they wouldn be able to see anything that was happening down on the pavement ,-51.13,18,51,0
dumbledore slipped the put outer back inside his cloak and set off down the street toward number four where he sat down on the wall next to the cat ,-41.88,20,54,0
he didn look at it but after moment he spoke to it ,-17.81,7,18,0
 fancy seeing you here professor mcgonagall he turned to smile at the tabby but it had gone ,-33.99,15,40,0
instead he was smiling at rather severe looking woman who was wearing square glasses exactly the shape of the markings the cat had had around its eyes ,-79.15,17,54,0
she too was wearing cloak an emerald one ,-93.32,4,14,0
her black hair was drawn into tight bun ,15.64,5,11,0
she looked distinctly ruffled ,-78.21,3,10,0
 how did you know it was me she asked ,6.39,3,7,0
 my dear professor ve never seen cat sit so stiffly you be stiff if you been sitting on brick wall all day said professor mcgonagall ,-39.34,17,46,0
 all day ,36.62,1,2,0
when you could have been celebrating ,-68.96,5,16,0
i must have passed dozen feasts and parties on my way here professor mcgonagall sniffed angrily ,-52.09,12,35,0
 oh yes everyone celebrating all right she said impatiently ,-90.33,7,24,0
 you think they be bit more careful but no even the muggles have noticed something going on ,-56.1,9,27,0
it was on their news she jerked her head back at the dursleys dark living room window ,-23.27,10,26,0
 heard it ,-47.98,1,3,0
flocks of owls shooting stars ,-8.72,4,10,0
 well they re not completely stupid ,-29.87,4,11,0
they were bound to notice something ,-72.17,4,13,0
shooting stars down in kent ll bet that was dedalus diggle ,-38.95,6,17,0
he never had much sense you can blame them said dumbledore gently ,-44.51,8,23,0
 we ve had precious little to celebrate for eleven years know that said professor mcgonagall irritably ,-94.39,12,41,0
 but that no reason to lose our heads ,-78.21,3,10,0
people are being downright careless out on the streets in broad daylight not even dressed in muggle clothes swapping rumors she threw sharp sideways glance at dumbledore here as though hoping he was going to tell her something but he didn so she went on ,-72.36,28,83,0
 fine thing it would be if on the very day you know who seems to have disappeared at last the muggles found out about us all ,-42.75,11,31,0
i suppose he really has gone dumbledore it certainly seems so said dumbledore ,-118.53,8,30,0
 we have much to be thankful for ,3.34,6,14,0
would you care for lemon drop what lemon drop ,-24.85,6,16,0
they re kind of muggle sweet m rather fond of no thank you said professor mcgonagall coldly as though she didn think this was the moment for lemon drops ,-24.96,20,50,0
 as say even if you know who has gone my dear professor surely sensible person like yourself can call him by his name ,-53.65,13,38,0
all this you know who nonsense for eleven years have been trying to persuade people to call him by his proper name voldemort professor mcgonagall flinched but dumbledore who was unsticking two lemon drops seemed not to notice ,-86.37,26,82,0
 it all gets so confusing if we keep saying you know who have never seen any reason to be frightened of saying voldemort name know you haven said professor mcgonagall sounding half exasperated half admiring ,-88.95,24,77,0
 but you re different ,-50.01,3,9,0
everyone knows you re the only one you know oh all right voldemort was frightened of you flatter me said dumbledore calmly ,-61.17,14,42,0
 voldemort had powers will never have only because you re too well noble to use them it lucky it dark ,-35.06,11,30,0
i haven blushed so much since madam pomfrey told me she liked my new earmuffs professor mcgonagall shot sharp look at dumbledore and said the owls are nothing next to the rumors that are flying around ,-58.8,25,71,0
you know what everyone saying ,-78.21,3,10,0
about why he disappeared ,-301.78,1,6,0
about what finally stopped him it seemed that professor mcgonagall had reached the point she was most anxious to discuss the real reason she had been waiting on cold hard wall all day for neither as cat nor as woman had she fixed dumbledore with such piercing stare as she did now ,-75.7,31,92,0
it was plain that whatever everyone was saying she was not going to believe it until dumbledore told her it was true ,-79.68,13,42,0
dumbledore however was choosing another lemon drop and did not answer ,-102.41,7,25,0
 what they re saying she pressed on is that last night voldemort turned up in godric hollow ,-23.9,12,31,0
he went to find the potters ,12.43,4,9,0
the rumor is that lily and james potter are are that they re dead dumbledore bowed his head ,-37.99,12,33,0
professor mcgonagall gasped ,-106.41,3,11,0
 lily and james ,-6.69,2,5,0
i can believe it ,-91.29,2,7,0
i didn want to believe it oh albus dumbledore reached out and patted her on the shoulder ,-65.82,11,34,0
 know ,36.62,1,2,0
i know he said heavily ,-29.87,4,11,0
professor mcgonagall voice trembled as she went on ,-67.15,6,19,0
 that not all ,35.61,2,4,0
they re saying he tried to kill the potters son harry ,-5.73,7,17,0
but he couldn ,-47.98,1,3,0
he couldn kill that little boy ,-8.72,4,10,0
no one knows why or how but they re saying that when he couldn kill harry potter voldemort power somehow broke and that why he gone dumbledore nodded glumly ,-33.42,20,52,0
 it it true faltered professor mcgonagall ,-114.47,4,15,0
 after all he done all the people he killed he couldn kill little boy ,-18.5,9,23,0
it just astounding of all the things to stop him ,-18.2,5,13,0
 but how in the name of heaven did harry survive we can only guess said dumbledore ,-57.11,10,30,0
 we may never know professor mcgonagall pulled out lace handkerchief and dabbed at her eyes beneath her spectacles ,-79.68,13,42,0
dumbledore gave great sniff as he took golden watch from his pocket and examined it ,-52.09,12,35,0
it was very odd watch ,34.59,3,6,0
it had twelve hands but no numbers instead little planets were moving around the edge ,-58.13,11,33,0
it must have made sense to dumbledore though because he put it back in his pocket and said hagrid late ,-52.09,12,35,0
i suppose it was he who told you d be here by the way yes said professor mcgonagall ,-54.07,7,21,0
 and don suppose you re going to tell me why you re here of all places ve come to bring harry to his aunt and uncle ,-11.43,15,36,0
they re the only family he has left now you don mean you can mean the people who live here cried professor mcgonagall jumping to her feet and pointing at number four ,-66.25,19,57,0
 dumbledore you can ,-217.18,1,5,0
i ve been watching them all day ,-8.72,4,10,0
you couldn find two people who are less like us ,-17.81,7,18,0
and they ve got this son saw him kicking his mother all the way up the street screaming for sweets ,-12.83,14,34,0
harry potter come and live here it the best place for him said dumbledore firmly ,-34.13,13,35,0
 his aunt and uncle will be able to explain everything to him when he older ,-46.7,9,26,0
i ve written them letter letter repeated professor mcgonagall faintly sitting back down on the wall ,-65.82,11,34,0
 really dumbledore you think you can explain all this in letter ,-66.16,7,22,0
these people will never understand him ,-106.41,3,11,0
he ll be famous legend wouldn be surprised if today was known as harry potter day in the future there will be books written about harry every child in our world will know his name exactly said dumbledore looking very seriously over the top of his half moon glasses ,-68.95,30,87,0
 it would be enough to turn any boy head ,-35.12,5,14,0
famous before he can walk and talk ,-8.72,4,10,0
famous for something he won even remember ,-114.47,4,15,0
can you see how much better off he ll be growing up away from all that until he ready to take it professor mcgonagall opened her mouth changed her mind swallowed and then said yes yes you re right of course ,-52.04,25,69,0
but how is the boy getting here dumbledore she eyed his cloak suddenly as though she thought he might be hiding harry underneath it ,-55.13,14,41,0
 hagrid bringing him you think it wise to trust hagrid with something as important as this would trust hagrid with my life said dumbledore ,-67.83,15,46,0
 m not saying his heart isn in the right place said professor mcgonagall grudgingly but you can pretend he not careless ,-55.13,14,41,0
he does tend to what was that low rumbling sound had broken the silence around them ,-54.07,7,21,0
it grew steadily louder as they looked up and down the street for some sign of headlight it swelled to roar as they both looked up at the sky and huge motorcycle fell out of the air and landed on the road in front of them ,-46.17,27,72,0
if the motorcycle was huge it was nothing to the man sitting astride it ,-37.3,9,25,0
he was almost twice as tall as normal man and at least five times as wide ,-27.37,11,29,0
he looked simply too big to be allowed and so wild long tangles of bushy black hair and beard hid most of his face he had hands the size of trash can lids and his feet in their leather boots were like baby dolphins ,-36.11,28,71,0
in his vast muscular arms he was holding bundle of blankets ,-29.9,7,19,0
 hagrid said dumbledore sounding relieved ,-136.64,5,20,0
 at last ,36.62,1,2,0
and where did you get that motorcycle borrowed it professor dumbledore sir said the giant climbing carefully off the motorcycle as he spoke ,-73.78,16,50,0
 young sirius black lent it to me ,-18.2,5,13,0
i ve got him sir no problems were there no sir house was almost destroyed but got him out all right before the muggles started swarmin around ,-45.27,15,42,0
he fell asleep as we was flyin over bristol dumbledore and professor mcgonagall bent forward over the bundle of blankets ,-66.2,12,37,0
inside just visible was baby boy fast asleep ,-53.05,6,18,0
under tuft of jet black hair over his forehead they could see curiously shaped cut like bolt of lightning ,-50.91,15,43,0
 is that where whispered professor mcgonagall ,-134.61,3,12,0
 yes said dumbledore ,-78.21,3,10,0
 hell have that scar forever couldn you do something about it dumbledore even if could wouldn ,-57.11,10,30,0
scars can come in handy ,15.64,5,11,0
i have one myself above my left knee that is perfect map of the london underground ,-40.19,10,28,0
well give him here hagrid we better get this over with dumbledore took harry in his arms and turned toward the dursleys house ,-45.27,15,42,0
 could could say good bye to him sir asked hagrid ,-18.5,9,23,0
he bent his great shaggy head over harry and gave him what must have been very scratchy whiskery kiss ,-4.29,11,26,0
then suddenly hagrid let out howl like wounded dog ,-29.9,7,19,0
 shhh hissed professor mcgonagall you ll wake the muggles s sorry sobbed hagrid taking out large spotted handkerchief and burying his face in it ,-63.2,16,48,0
 but c can stand it lily an james dead an poor little harry off ter live with muggles yes yes it all very sad but get grip on yourself hagrid or we ll be found professor mcgonagall whispered patting hagrid gingerly on the arm as dumbledore stepped over the low garden wall and walked to the front door ,-55.84,40,105,0
he laid harry gently on the doorstep took letter out of his cloak tucked it inside harry blankets and then came back to the other two ,-36.77,16,43,0
for full minute the three of them stood and looked at the little bundle hagrid shoulders shook professor mcgonagall blinked furiously and the twinkling light that usually shone from dumbledore eyes seemed to have gone out ,-92.64,25,81,0
 well said dumbledore finally that that ,-72.17,4,13,0
we ve no business staying here ,-35.12,5,14,0
we may as well go and join the celebrations yeah said hagrid in very muffled voice d best get this bike away ,-47.34,16,45,0
g night professor mcgonagall professor dumbledore sir wiping his streaming eyes on his jacket sleeve hagrid swung himself onto the motorcycle and kicked the engine into life with roar it rose into the air and off into the night ,-73.35,26,78,0
 shall see you soon expect professor mcgonagall said dumbledore nodding to her ,-74.03,10,32,0
professor mcgonagall blew her nose in reply ,-52.04,5,15,0
dumbledore turned and walked back down the street ,-68.96,5,16,0
on the corner he stopped and took out the silver put outer ,-27.9,9,24,0
he clicked it once and twelve balls of light sped back to their street lamps so that privet drive glowed suddenly orange and he could make out tabby cat slinking around the corner at the other end of the street ,-41.88,25,66,0
he could just see the bundle of blankets on the step of number four ,-23.27,10,26,0
 good luck harry he murmured ,-29.87,4,11,0
he turned on his heel and with swish of his cloak he was gone ,-17.81,7,18,0
a breeze ruffled the neat hedges of privet drive which lay silent and tidy under the inky sky the very last place you would expect astonishing things to happen ,-40.08,21,56,0
harry potter rolled over inside his blankets without waking up ,-55.08,8,24,0
one small hand closed on the letter beside him and he slept on not knowing he was special not knowing he was famous not knowing he would be woken in few hours time by mrs dursley scream as she opened the front door to put out the milk bottles nor that he would spend the next few weeks being prodded and pinched by his cousin dudley ,-59.38,42,111,0
 ,121.22,1,1,0
he couldn know that at this very moment people meeting in secret all over the country were holding up their glasses and saying in hushed voices to harry potter the boy who lived the vanashig glass nearly ten years had passed since the dursleys had woken up to find their nephew on the front step but privet drive had hardly changed at all ,-63.27,38,104,0
the sun rose on the same tidy front gardens and lit up the brass number four on the dursleys front door it crept into their living room which was almost exactly the same as it had been on the night when mr dursley had seen that fateful news report about the owls ,-37.93,30,76,0
only the photographs on the mantelpiece really showed how much time had passed ,-65.5,9,28,0
ten years ago there had been lots of pictures of what looked like large pink beach ball wearing different colored bonnets but dudley dursley was no longer baby and now the photographs showed large blond boy riding his first bicycle on carousel at the fair playing computer game with his father being hugged and kissed by his mother ,-83.33,40,118,0
the room held no sign at all that another boy lived in the house too ,-27.9,9,24,0
yet harry potter was still there asleep at the moment but not for long ,-4.29,11,26,0
his aunt petunia was awake and it was her shrill voice that made the first noise of the day ,-52.09,12,35,0
 up ,121.22,1,1,0
get up ,36.62,1,2,0
now harry woke with start ,6.39,3,7,0
his aunt rapped on the door again ,-29.87,4,11,0
 up she screeched ,-132.58,1,4,0
harry heard her walking toward the kitchen and then the sound of the frying pan being put on the stove ,-12.83,14,34,0
he rolled onto his back and tried to remember the dream he had been having ,-46.7,9,26,0
it had been good one ,-21.81,3,8,0
there had been flying motorcycle in it ,-48.99,2,6,0
he had funny feeling he had the same dream before ,-29.87,4,11,0
his aunt was back outside the door ,-52.04,5,15,0
 are you up yet she demanded ,-21.81,3,8,0
 nearly said harry ,-21.81,3,8,0
 well get move on want you to look after the bacon ,0.3,9,21,0
and don you dare let it burn want everything perfect on duddy birthday harry groaned ,-35.06,11,30,0
 what did you say his aunt snapped through the door ,-12.78,8,20,0
 nothing nothing dudley birthday how could he have forgotten ,-67.15,6,19,0
harry got slowly out of bed and started looking for socks ,-12.78,8,20,0
he found pair under his bed and after pulling spider off one of them put them on ,-19.68,11,28,0
harry was used to spiders because the cupboard under the stairs was full of them and that was where he slept ,-21.11,13,33,0
when he was dressed he went down the hall into the kitchen ,6.36,7,16,0
the table was almost hidden beneath all dudley birthday presents ,-66.16,7,22,0
it looked as though dudley had gotten the new computer he wanted not to mention the second television and the racing bike ,-79.3,14,45,0
exactly why dudley wanted racing bike was mystery to harry as dudley was very fat and hated exercise unless of course it involved punching somebody ,-54.57,20,57,0
dudley favorite punching bag was harry but he couldn often catch him ,-41.98,7,20,0
harry didn look it but he was very fast ,15.64,5,11,0
perhaps it had something to do with living in dark cupboard but harry had always been small and skinny for his age ,-35.06,11,30,0
he looked even smaller and skinnier than he really was because all he had to wear were old clothes of dudley and dudley was about four times bigger than he was ,-56.55,15,44,0
harry had thin face knobbly knees black hair and bright green eyes ,-14.81,10,25,0
he wore round glasses held together with lot of scotch tape because of all the times dudley had punched him on the nose ,-40.64,13,36,0
the only thing harry liked about his own appearance was very thin scar on his forehead that was shaped like bolt of lightning ,-47.14,13,37,0
he had had it as long as he could remember and the first question he could ever remember asking his aunt petunia was how he had gotten it ,-63.2,16,48,0
 in the car crash when your parents died she had said ,-10.75,6,15,0
 and don ask questions don ask questions that was the first rule for quiet life with the dursleys ,-58.13,11,33,0
uncle vernon entered the kitchen as harry was turning over the bacon ,-40.19,10,28,0
 comb your hair he barked by way of morning greeting ,-38.95,6,17,0
about once week uncle vernon looked over the top of his newspaper and shouted that harry needed haircut ,-81.2,11,36,0
harry must have had more haircuts than the rest of the boys in his class put together but it made no difference his hair simply grew that way all over the place ,-30.63,19,49,0
harry was frying eggs by the time dudley arrived in the kitchen with his mother ,-33.93,8,22,0
dudley looked lot like uncle vernon ,-53.05,6,18,0
he had large pink face not much neck small watery blue eyes and thick blond hair that lay smoothly on his thick fat head ,-16.5,20,48,0
aunt petunia often said that dudley looked like baby angel harry often said that dudley looked like pig in wig ,-57.34,19,55,0
harry put the plates of egg and bacon on the table which was difficult as there wasn much room ,-16.84,12,30,0
dudley meanwhile was counting his presents ,-114.47,4,15,0
his face fell ,-6.69,2,5,0
 thirty six he said looking up at his mother and father ,-23.36,8,21,0
 that two less than last year darling you haven counted auntie marge present see it here under this big one from mommy and daddy all right thirty seven then said dudley going red in the face ,-48.24,23,63,0
harry who could see huge dudley tantrum coming on began wolfing down his bacon as fast as possible in case dudley turned the table over ,-55.83,18,52,0
aunt petunia obviously scented danger too because she said quickly and we ll buy you another two presents while we re out today ,-66.67,13,40,0
how that popkin ,-47.98,1,3,0
two more presents ,-6.69,2,5,0
is that all right dudley thought for moment ,-29.87,4,11,0
it looked like hard work ,-29.87,4,11,0
finally he said slowly so ll have thirty thirty thirty nine sweetums said aunt petunia ,-37.99,12,33,0
 oh dudley sat down heavily and grabbed the nearest parcel ,-44.51,8,23,0
 all right then uncle vernon chuckled ,-18.2,5,13,0
 little tyke wants his money worth just like his father ,-9.1,9,22,0
 atta boy dudley he ruffled dudley hair ,-29.9,7,19,0
at that moment the telephone rang and aunt petunia went to answer it while harry and uncle vernon watched dudley unwrap the racing bike video camera remote control airplane sixteen new computer games and vcr ,-84.45,28,87,0
he was ripping the paper off gold wristwatch when aunt petunia came back from the telephone looking both angry and worried ,-67.22,14,43,0
 bad news vernon she said ,-1.28,5,12,0
 mrs ,121.22,1,1,0
figg broken her leg ,6.39,3,7,0
she can take him she jerked her head in harry direction ,-27.9,9,24,0
dudley mouth fell open in horror but harry heart gave leap ,-31.73,10,27,0
every year on dudley birthday his parents took him and friend out for the day to adventure parks hamburger restaurants or the movies ,-69.2,17,52,0
every year harry was left behind with mrs figg mad old lady who lived two streets away ,-5.79,15,35,0
harry hated it there ,-8.72,4,10,0
the whole house smelled of cabbage and mrs figg made him look at photographs of all the cats she ever owned ,-43.05,14,39,0
 now what said aunt petunia looking furiously at harry as though he planned this ,-65.82,11,34,0
harry knew he ought to feel sorry that mrs figg had broken her leg but it wasn easy when he reminded himself it would be whole year before he had to look at tibbies snowy mr paws and tufty again ,-24.96,25,61,0
